Star,Paper,Identifier,T_eff,T_eff_err,logg,logg_err,atmosphere,mass,mass_err,RA,Dec,Gaia_designation,parallax,parallax_err,mixing_zone_mass,mag_field,mag_field_err,infrared_excess,gas_component,binary,binary_separation,time_since_acc_ended,origin,comment,log(H/H(e)),log(H/H(e))e,log(He/H(e)),log(He/H(e))e,log(Li/H(e)),log(Li/H(e))e,Acc_rate_Li_steady_state,Sinking_time_Li,mass_fraction_Li,log(Be/H(e)),log(Be/H(e))e,Acc_rate_Be_steady_state,Sinking_time_Be,log(C/H(e)),log(C/H(e))e,Acc_rate_C_steady_state,Sinking_time_C,mass_fraction_C,log(N/H(e)),log(N/H(e))e,Acc_rate_N_steady_state,Sinking_time_N,mass_fraction_N,log(O/H(e)),log(O/H(e))e,Acc_rate_O_steady_state,Acc_rate_O_increasing,Acc_rate_O_decreasing,Sinking_time_O,mass_fraction_O,log(Na/H(e)),log(Na/H(e))e,Acc_rate_Na_steady_state,Acc_rate_Na_increasing,Acc_rate_Na_decreasing,Sinking_time_Na,mass_fraction_Na,log(Mg/H(e)),log(Mg/H(e))e,Acc_rate_Mg_steady_state,Acc_rate_Mg_increasing,Acc_rate_Mg_decreasing,Sinking_time_Mg,mass_fraction_Mg,log(Al/H(e)),log(Al/H(e))e,Acc_rate_Al_steady_state,Acc_rate_Al_increasing,Acc_rate_Al_decreasing,Sinking_time_Al,mass_fraction_Al,log(Si/H(e)),log(Si/H(e))e,Acc_rate_Si_steady_state,Acc_rate_Si_increasing,Acc_rate_Si_decreasing,Sinking_time_Si,mass_fraction_Si,log(P/H(e)),log(P/H(e))e,Acc_rate_P_steady_state,Sinking_time_P,mass_fraction_P,log(S/H(e)),log(S/H(e))e,Acc_rate_S_steady_state,Sinking_time_S,mass_fraction_S,log(Cl/H(e)),log(Cl/H(e))e,Acc_rate_Cl_steady_state,Sinking_time_Cl,mass_fraction_Cl,log(Ar/H(e)),log(Ar/H(e))e,log(K/H(e)),log(K/H(e))e,Acc_rate_K_steady_state,Sinking_time_K,log(Ca/H(e)),log(Ca/H(e))e,Acc_rate_Ca_steady_state,Acc_rate_Ca_increasing,Acc_rate_Ca_decreasing,Sinking_time_Ca,mass_fraction_Ca,log(Sc/H(e)),log(Sc/H(e))e,Acc_rate_Sc_steady_state,Sinking_time_Sc,mass_fraction_Sc,log(Ti/H(e)),log(Ti/H(e))e,Acc_rate_Ti_steady_state,Acc_rate_Ti_increasing,Acc_rate_Ti_decreasing,Sinking_time_Ti,mass_fraction_Ti,log(V/H(e)),log(V/H(e))e,Acc_rate_V_steady_state,Sinking_time_V,mass_fraction_V,log(Cr/H(e)),log(Cr/H(e))e,Acc_rate_Cr_steady_state,Acc_rate_Cr_increasing,Acc_rate_Cr_decreasing,Sinking_time_Cr,mass_fraction_Cr,log(Mn/H(e)),log(Mn/H(e))e,Acc_rate_Mn_steady_state,Acc_rate_Mn_increasing,Acc_rate_Mn_decreasing,Sinking_time_Mn,mass_fraction_Mn,log(Fe/H(e)),log(Fe/H(e))e,Acc_rate_Fe_steady_state,Acc_rate_Fe_increasing,Acc_rate_Fe_decreasing,Sinking_time_Fe,mass_fraction_Fe,log(Co/H(e)),log(Co/H(e))e,Acc_rate_Co_steady_state,Sinking_time_Co,mass_fraction_Co,log(Ni/H(e)),log(Ni/H(e))e,Acc_rate_Ni_steady_state,Acc_rate_Ni_increasing,Acc_rate_Ni_decreasing,Sinking_time_Ni,mass_fraction_Ni,log(Cu/H(e)),log(Cu/H(e))e,Acc_rate_Cu_steady_state,Sinking_time_Cu,mass_fraction_Cu,log(Zn/H(e)),log(Zn/H(e))e,Acc_rate_Zn_steady_state,Sinking_time_Zn,log(Ga/H(e)),log(Ga/H(e))e,Acc_rate_Ga_steady_state,Sinking_time_Ga,mass_fraction_Ga,log(Ge/H(e)),log(Ge/H(e))e,Acc_rate_Ge_steady_state,Sinking_time_Ge,mass_fraction_Ge,log(As/H(e)),log(As/H(e))e,log(Se/H(e)),log(Se/H(e))e,log(Sr/H(e)),log(Sr/H(e))e,Acc_rate_Sr_steady_state,Sinking_time_Sr,mass_fraction_Sr,log(Sn/H(e)),log(Sn/H(e))e,log(I/H(e)),log(I/H(e))e,log(Ba/H(e)),log(Ba/H(e))e,Acc_rate_Total_steady_state,Acc_rate_Total_increasing,Acc_rate_Total_decreasing
WD0243-026,Zuckerman 2003,WD0243-026 Zuckerman 2003,6798.0,,8.15,,H,,,41.6283387962407,-2.456516962044,Gaia DR3 2495751967528809216,46.5741597,0.04863914,,10000.0,-1.0,,,,,,https://ui.adsabs.harvard.edu/abs/2003ApJ...596..477Z/abstract,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9.898,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WD0245+541,Zuckerman 2003,WD0245+541 Zuckerman 2003,5190.0,,8.22,,H,,,42.151788007264,54.389573501742,Gaia DR3 453562088496088320,92.03619894,0.03017235,,10000.0,-1.0,,,,,,https://ui.adsabs.harvard.edu/abs/2003ApJ...596..477Z/abstract,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-12.694,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WD0245+541,Zuckerman 2003,WD0245+541 Zuckerman 2003,5190.0,,8.22,,H,,,42.151788007264,54.389573501742,Gaia DR3 453562088496088320,92.03619894,0.03017235,,10000.0,-1.0,,,,,,https://ui.adsabs.harvard.edu/abs/2003ApJ...596..477Z/abstract,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-12.694,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WD1208+576,Zuckerman 2003,WD1208+576 Zuckerman 2003,5830.0,,7.91,,H,,,182.871971900605,57.4047895302595,Gaia DR3 1575357587146077056,50.07790021,0.027994908,,10000.0,-1.0,,,,,,https://ui.adsabs.harvard.edu/abs/2003ApJ...596..477Z/abstract,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-10.958,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WD1344+106,Zuckerman 2003,WD1344+106 Zuckerman 2003,6945.0,,7.99,,H,,,206.851540147009,10.3605592198849,Gaia DR3 3725570772761744384,48.05968617,0.03251016,,10000.0,-1.0,,,,,,https://ui.adsabs.harvard.edu/abs/2003ApJ...596..477Z/abstract,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-11.133,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WD1344+106,Zuckerman 2003,WD1344+106 Zuckerman 2003,6945.0,,7.99,,H,,,206.851540147009,10.3605592198849,Gaia DR3 3725570772761744384,48.05968617,0.03251016,,10000.0,-1.0,,,,,,https://ui.adsabs.harvard.edu/abs/2003ApJ...596..477Z/abstract,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-11.133,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WD1633+433,Zuckerman 2003,WD1633+433 Zuckerman 2003,6569.0,,8.08,,H,,,248.755954910065,43.2934297737544,Gaia DR3 1405343643196929536,68.99119608,0.016140647,,10000.0,-1.0,,,,,,https://ui.adsabs.harvard.edu/abs/2003ApJ...596..477Z/abstract,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-7.55,0.0,,,,,,-8.72,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-8.627,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-7.88,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WD1633+433,Zuckerman 2003,WD1633+433 Zuckerman 2003,6569.0,,8.08,,H,,,248.755954910065,43.2934297737544,Gaia DR3 1405343643196929536,68.99119608,0.016140647,,10000.0,-1.0,,,,,,https://ui.adsabs.harvard.edu/abs/2003ApJ...596..477Z/abstract,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-7.55,0.0,,,,,,-8.72,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-8.627,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-7.88,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NLTT 11393,Kawka 2012,NLTT 11393 Kawka 2012,5890.0,30.0,7.86,0.06,H,0.51,0.03,54.1420354538121,-22.2566899345061,Gaia DR3 5088251195844051328,26.0006,0.0695,,16000.0,-1.0,,,,,,https://ui.adsabs.harvard.edu/abs/2012A%26A...538A..13K/abstract,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-8.7,-1.0,2290867.65276777,,,,,-9.4,-1.0,575439.937337157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-10.24,0.04,151356.124843621,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9.4,-1.0,2041737.94466953,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NLTT 888,Kawka & Vennes 2014,NLTT 888 Kawka & Vennes 2014,5570.0,40.0,7.72,0.08,H,0.45,0.03,4.4072039297003,-5.2794857205576,Gaia DR3 2443826805441462656,21.4723,0.0982,,40000.0,-1.0,,,,,,https://ui.adsabs.harvard.edu/abs/2014MNRAS.439L..90K/abstract,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9.01,0.07,,,,,,,,,,,,,-8.9,-1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,-10.77,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NLTT 19868,Kawka 2016,NLTT 19868 Kawka 2016,5220.0,90.0,7.9,0.22,H,0.52,0.13,129.006984650546,-10.1020695153818,Gaia DR3 5748802661860766208,29.0217,0.0867,1e+28,40000.0,-1.0,,,,,,https://ui.adsabs.harvard.edu/abs/2016MNRAS.458..325K/abstract,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-8.2,0.3,,,,,,-8.63,0.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-8.7,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-8.93,0.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NLTT 6390,Kawka 2012,NLTT 6390 Kawka 2012,6040.0,40.0,7.9,0.07,H,0.53,0.04,28.5222480526129,-30.5756308926295,Gaia DR3 5019183689315007872,23.255,0.0701,,40000.0,-1.0,,,,,,https://ui.adsabs.harvard.edu/abs/2012A%26A...538A..13K/abstract,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-8.66,0.2,2884031.50312661,,,,0.905212604026804,-9.2,-1.0,1047128.5480509,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-10.0,0.04,301995.172040202,,,,0.094787395973196,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-8.57,-1.0,15848931.9246111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NLTT 1675,Kawka 2012,NLTT 1675 Kawka 2012,6020.0,50.0,8.04,0.07,H,0.61,0.04,7.8537847753802,22.3065364410413,Gaia DR3 2799809779202757376,19.7035,0.0951,,40000.0,-1.0,,,,,,https://ui.adsabs.harvard.edu/abs/2012A%26A...538A..13K/abstract,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-8.56,0.12,3890451.4499428,,,,0.189134304322121,-9.28,0.17,933254.300796991,,,,0.045370159532375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9.53,0.03,954992.586021437,,,,0.04642696630814,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-8.63,0.13,14791083.8816821,,,,0.719068569837364,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NLTT 01675,Kawka & Vennes 2014,NLTT 01675 Kawka & Vennes 2014,6020.0,50.0,8.04,0.07,H,,,7.8537847753802,22.3065364410413,Gaia DR3 2799809779202757376,19.7035,0.0951,,40000.0,-1.0,,,,,,https://ui.adsabs.harvard.edu/abs/2014MNRAS.439L..90K/abstract,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9.53,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WD2105-820,Swan 2019,WD2105-820 Swan 2019,10890.0,380.0,8.41,0.08,H,0.86,,318.320228895725,-81.8202439681947,Gaia DR3 6348672845649310464,61.8087,0.0153,1.0798203993434e+21,43000.0,,,,,,,https://ui.adsabs.harvard.edu/abs/2019MNRAS.490..202S/abstract,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6.0,0.2,,,,,,,,,,,,,-5.5,-1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,-8.2,0.1,,,,125633068.45459,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6.0,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,630957344.480194,,
WD2105-820,Kawka & Vennes 2011,WD2105-820 Kawka & Vennes 2011,10280.0,,8.01,,H,,,318.320228895725,-81.8202439681947,Gaia DR3 6348672845649310464,61.8086625,0.015287907,,43000.0,,,,,,,https://ui.adsabs.harvard.edu/abs/2011AIPC.1331..238K/abstract,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-8.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J1654+3829,Caron 2023,J1654+3829 Caron 2023,5907.0,14.0,8.204,0.005,H,0.701,0.004,253.690385849649,38.4935078806741,Gaia DR3 1351956512512484480,36.6359048,0.04196449,,70000.0,,,,,,,https://ui.adsabs.harvard.edu/abs/2023MNRAS.519.4529C/abstract,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
